time_stamp,teta0,omega0,dt,n_iter,gamma,driving_ang_freq,driving_delta,l,m,damping,g
2022_12_14_14_30_38_323125,-1.57079633,0.0,0.005,20001,1.0637027,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_38_377056,-1.57079633,0.0,0.005,20001,1.0603243,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_38_480298,-1.57079633,0.0,0.005,20001,1.0648378,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_38_793561,-1.57079633,0.0,0.005,20001,1.0614595,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_38_809185,-1.57079633,0.0,0.005,20001,1.0625946,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_38_887726,-1.57079633,0.0,0.005,20001,1.0637297,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_38_903368,-1.57079633,0.0,0.005,20001,1.0603514,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_39_044613,-1.57079633,0.0,0.005,20001,1.0648649,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_38_878209,-1.57079633,0.0,0.005,20001,1.0658649,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_39_562762,-1.57079633,0.0,0.005,20001,1.0614865,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_39_625688,-1.57079633,0.0,0.005,20001,1.0626216,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_39_688594,-1.57079633,0.0,0.005,20001,1.0603784,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_39_704237,-1.57079633,0.0,0.005,20001,1.0637568,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_39_782772,-1.57079633,0.0,0.005,20001,1.0648919,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_40_033625,-1.57079633,0.0,0.005,20001,1.0615135,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_40_174741,-1.57079633,0.0,0.005,20001,1.0626486,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_40_206504,-1.57079633,0.0,0.005,20001,1.0604054,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_40_285064,-1.57079633,0.0,0.005,20001,1.0637838,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_40_482223,-1.57079633,0.0,0.005,20001,1.0649189,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_39_981226,-1.57079633,0.0,0.005,20001,1.0658919,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_40_803099,-1.57079633,0.0,0.005,20001,1.0615405,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_40_883239,-1.57079633,0.0,0.005,20001,1.0626757,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_40_897248,-1.57079633,0.0,0.005,20001,1.0604324,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_40_959762,-1.57079633,0.0,0.005,20001,1.0638108,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_41_383986,-1.57079633,0.0,0.005,20001,1.0615676,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_41_603730,-1.57079633,0.0,0.005,20001,1.0627027,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_41_635013,-1.57079633,0.0,0.005,20001,1.0604595,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_41_792184,-1.57079633,0.0,0.005,20001,1.0638378,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_41_886349,-1.57079633,0.0,0.005,20001,1.064973,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_42_152862,-1.57079633,0.0,0.005,20001,1.0615946,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_42_200154,-1.57079633,0.0,0.005,20001,1.0627297,6.2831853,0,0.11032751,1,4.712389,9.8
