time_stamp,teta0,omega0,dt,n_iter,gamma,driving_ang_freq,driving_delta,l,m,damping,g
2022_12_14_11_17_43_125657,1.160337,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_156888,0.89195972,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_177028,0.96300076,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_188537,1.0340418,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_219803,1.1050828,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_235425,0.89985317,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_251051,1.0419353,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_266673,0.97089421,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_282708,1.1761239,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_298345,1.1129763,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_329597,1.0498287,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_345219,0.97878766,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_377480,1.1840173,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_392486,1.0577221,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_564807,1.3576732,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_627713,1.4366077,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_678116,1.4445011,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_784849,1.3103125,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_800482,1.5155422,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_816133,1.3813536,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_831732,1.460288,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_847375,1.5234356,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_44_004001,1.5313291,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_44_114114,1.3339929,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_44_129760,1.547116,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_44_160895,1.4050339,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_44_208446,1.5550094,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_44_223998,1.4129273,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_196506,0.21312312,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_198523,0.0078934489,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_182484,0.14208208,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_449592,0.22101657,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_561244,0.023680347,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_597013,0.086827938,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_591966,0.22891002,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_702259,0.386779,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_576298,0.29205761,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_717914,0.031573796,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_733540,0.094721387,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_749151,0.23680347,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_843429,0.10261484,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_874678,0.24469692,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_764778,0.15786898,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_906445,0.063147591,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_812138,0.29995106,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_969028,0.41835279,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_52_984683,0.11050828,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_047607,0.26837726,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_078857,0.49728728,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_098540,0.11840173,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_063237,0.18154932,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_204475,0.43413969,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_282710,0.50518073,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_251431,0.27627071,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_330120,0.13418863,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_550190,0.46571348,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_565807,0.64726281,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_534575,0.56832832,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_424644,0.20522967,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_738803,0.47360693,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_770060,0.65515626,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_801701,0.57622177,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_832963,0.54464797,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_900487,0.48150038,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
